월,기간,대회명,장소
1월,4일~5일,렛츠고 생활 체육 배구 카페 가족 대축제,전북정읍
1월,16일~19일,하늘내린인제배 동계전국대학남여9인제배구대회,강원인제
1월,31일토요일,제1회창원상남으뜸플란트치과배남여시니어배구대회,경남창원
2월,20일~25일,2026년영양군전국초등학교배구팀스토브리그,경북영양
2월,28일~3/1일,하늘내린천배전국남여9인제배구챔피언십대회,강원인제
3월,14일~15일,2026 보성녹차배 전국 남.여배구대회,전남보성
3월,14일~15일,제3회 영양별천지배스포츠클럽배구대회,경북영양
3월,28일~29일,제19회광양백운산기전국남여배구대회,전남광양
3월,28일~29일,2026년 제10회 기장미역다시마배 전국남.여배구대회,부산기장
4월,4일~5일,제3회광주무등산빛고을배 전국남.여배구대회,광주광역
4월,4일~5일,2026 칠갑산배 전국남여배구대회,충남청양
4월,4일~5일,제14회 창원 진해군항제기념전국남여배구대회,경남창원
4월,11일~12일,단양소백산배 전국남여9인제배구대회,충북단양
4월,11일~12일,2026제38회무등기 어린이.어머니교직원배구대회,전남화순
4월,11일~12일,제7회진안마이산배시니어실버전국남녀배구대회,전북진안
4월,18일~19일,제45회 서울특별시장기 배구대회,서울시
4월,24일~26일,제5회단양도담삼봉배스포츠클럽전국배구대회,충북단양
4월,25일~26일,제24회 나주배꽃배전국남녀배구대회,전남나주
4월,25일~26일,제31회 중부매일배 내토 전국생활체육배구대회,충북제천
5월,2일~3일,2026 제18회용인특례시,경기일보남여생활체육배구대회/결과경기용인
5월,9일~10일,제17회 순천만갈대배전국남여배구대회,전남순천
5월,9일~10일,제2회 횡성한우배 전국남.여 배구대회,강원횡성
5월,15일~17일,제54회 생활체육카네이션전국어머니배구대회,경북포항
5월,16일~17일,제6회 강진청자배 전국 남.녀 배구대회,전남강진
5월,30일~31일,박계조배 전국남여9인제배구대회,강원인제
6월,13일~14일,제20회한산대첩기전국남녀배구대회,경남통영
6월,13일~14일,제7회 목포 유달산배 전국 남.녀 배구대회,전남목포
6월,13일~14일,2026전국4인제배구대회,경북문경
6월,20일~21일,2026고창군수배 전국남여배구대회,전북고창
6월,27일~28일,제4회 청풍명월 의림지배 전국 생활체육 배구대회,충북제천
6월,27일~28일,제37회해림배 배구대회,전남해남
6월,27일~28일,제2회단양만천하스카이배스포츠클럽전국배구대회,충북단양
7월,11일~12일,제8회남원춘향배전국남여배구대회,전북남원
7월,11일~12일,제1회대한스포츠클럽협회장배전국유소년배구대회,전남화순
7월,18일~19일,2026청양고추&구기자배전국생활체육배구대회,충남청양
7월,25일~26일,"제23회“동트는 동해 컵"" 전국남.여 비치발리볼대회",강원인제
8월,1일~2일,제18회 홍천무궁화배 전국생활체육 배구대회,강원홍천
8월,1일~2일,제13회순창장류배남여배구대회,전북순창
8월,8일~9일,제15회 진안홍삼배 전국 남·여 배구대회,전북진안
8월,8일~9일,2026 대한배구협회장기 전국생활체육배구대회,충북단양
8월,15일~16일,문광부장관기 전국남여9인제배구대회,경북문경
8월,22일~23일,2026 원주치악배 전국남녀배구대회,강원원주
8월,22일~23일,제13회영암월출산배전국남여배구대회,전남영암
8월,29일~30일,2026강진청자배시니어실버전국남녀배구대회,전남강진
9월,5일~6일,2026 대한체육회장기 전국생활체육배구대회,충북단양
9월,12일~13일,남원춘향배전국유소년배구대회,전북남원
9월,19일~20일,제58회청호배생활체육배구대회,충북단양
0월,17일~18일,제5회 고성공룡배 전국남녀배구대회,경남고성
0월,17일~18일,제3회부안붉은노을배시니어실버전국남녀배구대회,전북부안
0월,24일~25일,제11회 임금님표 이천쌀배 전국배구대회,경기이천
0월,31일~11/12026,제4회부여굿뜨래배전국생활체육배구대회,충남부여
1월,14일~15일,국무총리배 전국9인제배구대회,충북단양
1월,14일~15일,제57회여수거북선기전국남여배구대회,전남여수
1월,21일~22일,2026 전주한옥마을배 전국남.여배구대회,전북전주
1월,21일~22일,제1회 철원오대쌀배전국남여배구대회,강원철원
1월,28일~29일,제57회장흥군협회장기전국남여배구대회,전남장흥
2월,4일~6일,제2회 남원춘향 장윤희배 전국 초등부배구대회,전북남원
2월,5일(하루),사)한국시니어실버배구연맹배초청배구대회,광주광역
